item_id,dept_id,d_1842,d_1843,d_1844,d_1845,d_1846,d_1847,d_1848,d_1849,d_1850,d_1851,d_1852,d_1853,d_1854,d_1855,d_1856,d_1857,d_1858,d_1859,d_1860,d_1861,d_1862,d_1863,d_1864,d_1865,d_1866,d_1867,d_1868,d_1869,d_1870,d_1871,d_1872,d_1873,d_1874,d_1875,d_1876,d_1877,d_1878,d_1879,d_1880,d_1881,d_1882,d_1883,d_1884,d_1885,d_1886,d_1887,d_1888,d_1889,d_1890,d_1891,d_1892,d_1893,d_1894,d_1895,d_1896,d_1897,d_1898,d_1899,d_1900,d_1901,d_1902,d_1903,d_1904,d_1905,d_1906,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913,d_1914,d_1915,d_1916,d_1917,d_1918,d_1919,d_1920,d_1921,d_1922,d_1923,d_1924,d_1925,d_1926,d_1927,d_1928,d_1929,d_1930,d_1931,d_1932,d_1933,d_1934,d_1935,d_1936,d_1937,d_1938,d_1939,d_1940,d_1941
FOODS_3_376,FOODS_3,7,10,10,6,4,8,5,4,8,4,5,6,6,9,11,7,15,3,8,5,3,4,9,9,5,5,5,6,10,4,2,9,9,5,5,7,11,8,8,6,0,5,8,25,3,8,5,7,5,8,9,6,12,5,3,4,6,14,3,5,1,2,8,8,11,3,1,1,3,5,7,7,3,2,1,2,2,6,5,3,9,6,9,4,9,0,0,0,0,8,0,7,0,13,3,8,0,0,7,5
FOODS_3_499,FOODS_3,33,36,49,43,24,25,27,45,71,58,40,37,26,37,34,57,40,24,37,22,0,23,42,15,0,17,1,9,9,0,18,16,18,14,13,10,16,18,1,8,0,6,0,0,14,16,28,23,22,51,39,65,41,40,37,48,57,73,65,40,43,29,43,46,60,50,14,19,15,10,18,36,22,18,17,11,19,21,21,25,20,19,13,14,26,23,30,8,21,11,24,20,16,15,12,10,16,10,8,32
FOODS_2_244,FOODS_2,10,13,11,10,8,10,13,11,13,18,7,7,8,8,8,13,8,12,11,6,9,11,8,9,12,15,6,5,12,16,9,8,11,9,5,3,15,13,10,9,13,5,17,5,16,9,7,7,8,12,9,11,15,10,11,7,15,9,12,11,8,8,3,10,16,11,14,8,7,9,9,10,8,5,3,10,10,6,6,14,12,12,11,4,9,11,11,16,12,0,7,13,13,9,6,6,4,7,13,6
FOODS_3_491,FOODS_3,19,11,10,5,11,14,13,17,11,12,7,7,6,8,13,17,5,8,6,9,8,8,10,8,8,12,10,11,18,13,7,13,1,6,14,21,13,14,5,18,10,25,21,10,2,9,3,5,6,13,18,6,3,12,6,9,11,13,12,3,9,16,11,17,19,8,2,4,10,16,14,14,4,21,4,18,7,19,9,14,5,8,5,7,18,11,9,9,5,5,9,8,14,5,7,13,5,1,16,9
FOODS_3_739,FOODS_3,25,21,16,21,19,15,20,23,48,11,23,11,31,19,32,20,25,24,23,28,13,25,59,32,34,25,29,32,19,30,24,33,11,20,21,33,34,17,27,25,25,29,46,26,7,16,26,19,22,18,35,12,23,33,31,27,40,39,46,24,24,21,29,15,33,20,29,11,15,9,28,31,17,18,27,19,18,19,21,13,38,18,27,16,22,24,20,21,16,21,26,22,33,10,20,19,14,10,16,14
FOODS_3_498,FOODS_3,32,13,13,6,9,2,0,19,6,1,5,18,13,4,20,17,6,20,31,3,0,3,21,23,7,18,5,7,0,7,12,5,2,12,6,19,1,4,4,4,3,18,26,2,15,10,3,4,5,0,13,14,19,6,6,44,7,17,0,4,3,0,3,6,12,9,7,12,9,2,17,2,5,6,4,9,6,10,10,0,22,44,7,11,7,4,17,11,3,5,15,2,9,2,4,16,0,25,11,22
FOODS_2_347,FOODS_2,18,24,14,17,14,8,8,21,17,11,15,8,8,12,14,12,19,16,7,19,10,13,18,19,8,14,11,14,17,18,16,12,10,8,9,4,23,7,11,10,9,10,9,8,16,16,6,16,18,10,3,20,16,7,5,11,9,4,9,12,12,8,9,13,12,7,18,14,10,10,18,23,14,6,10,5,16,14,13,8,19,5,13,9,16,19,8,12,5,13,7,17,10,1,8,7,10,6,14,18
FOODS_3_764,FOODS_3,22,11,32,14,11,18,15,12,21,13,18,10,19,11,8,15,29,15,19,7,13,17,28,27,18,17,14,15,19,20,31,18,9,11,12,19,24,13,20,13,14,15,19,18,16,16,8,8,13,19,38,11,14,12,11,10,9,47,20,18,14,7,7,15,11,10,13,13,13,8,17,18,14,11,8,8,8,3,14,19,10,10,7,12,24,22,20,23,20,19,12,24,19,18,21,20,26,19,10,15
FOODS_3_455,FOODS_3,0,15,28,22,0,13,11,16,18,8,5,7,12,4,17,14,10,6,4,10,8,11,8,7,7,2,4,12,6,11,9,9,6,2,5,11,12,1,4,3,11,8,12,4,7,2,6,2,6,7,10,6,6,5,9,4,9,9,9,8,8,5,11,11,15,4,3,6,1,9,7,10,5,6,5,11,4,10,8,8,7,6,12,11,7,9,12,12,10,4,13,16,11,9,11,7,9,12,12,18
FOODS_3_362,FOODS_3,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,32,49,58,93,62,50,34,29,33,54,56,39,33,32,38,32,32,53,51,49,35,36,38,40,50,55,35,24,45,44,49,65,54,29,32,29,20,64,71,56,37,47,33,26,36,36,34,15,19,33,19,31,40,30,29,18,21,2,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,31,33,19,27,31,17,20,27
FOODS_3_462,FOODS_3,10,10,13,15,4,10,11,9,8,9,4,9,2,11,19,10,13,4,4,8,7,8,12,9,5,4,12,12,10,7,8,11,2,11,10,5,6,9,11,9,8,6,9,16,1,6,7,8,4,10,15,8,9,4,5,3,6,15,6,12,2,4,13,13,13,4,2,4,3,6,1,7,10,2,0,4,3,8,6,3,6,5,9,5,4,5,6,7,11,3,0,10,13,17,0,0,6,5,8,6
FOODS_3_406,FOODS_3,17,17,20,14,15,11,6,35,37,31,25,29,21,21,27,31,22,9,17,10,13,23,23,21,23,16,10,13,19,12,11,14,10,12,19,23,21,21,5,8,15,18,22,14,8,10,14,8,6,9,29,15,20,16,11,9,21,28,20,12,10,12,11,16,23,19,24,10,12,23,28,10,24,6,15,7,5,15,14,13,18,8,6,17,15,20,23,5,4,14,13,6,20,25,9,21,10,5,10,16
FOODS_3_007,FOODS_3,16,24,5,17,12,6,0,2,7,15,3,17,10,8,4,7,5,15,0,1,1,4,12,23,0,1,4,7,16,11,6,4,13,0,8,3,10,4,14,6,3,12,14,0,4,8,5,2,5,0,1,5,9,0,24,10,2,6,4,8,14,50,2,4,6,10,11,14,18,2,12,5,3,0,18,3,0,1,7,23,6,19,7,7,1,10,21,10,0,2,7,1,10,8,8,1,5,7,2,22
FOODS_2_019,FOODS_2,18,17,15,12,10,5,6,7,12,8,12,8,11,5,12,8,10,17,16,8,7,12,13,13,3,0,9,16,12,25,7,22,9,6,11,9,10,11,10,8,3,5,13,8,13,8,9,6,5,18,11,10,11,9,9,7,13,13,10,16,8,4,5,8,11,9,7,7,8,6,13,11,8,5,9,4,7,12,10,12,9,6,8,1,11,6,13,9,8,3,3,4,4,6,9,8,7,3,9,8
FOODS_3_329,FOODS_3,34,23,47,31,23,21,15,43,38,24,37,21,23,30,44,51,28,40,23,23,23,35,39,44,26,25,27,37,26,31,40,22,19,19,22,29,38,37,35,27,26,27,21,39,28,17,16,22,11,16,22,33,33,20,37,35,41,46,42,34,27,20,28,27,42,35,37,18,33,26,36,45,28,41,24,19,14,30,26,38,21,27,17,16,14,23,22,17,36,13,20,17,21,21,24,16,17,13,9,28
FOODS_3_099,FOODS_3,12,4,0,3,12,18,10,13,10,17,6,12,7,19,3,17,14,17,13,8,3,9,18,12,18,7,10,15,13,18,10,15,9,6,11,11,15,16,9,17,4,7,13,11,9,6,10,9,10,11,16,9,9,11,16,13,16,19,13,13,12,6,12,11,18,11,12,8,10,11,8,8,12,8,13,16,9,14,1,12,0,11,9,12,21,7,14,8,17,8,13,9,9,10,9,11,11,9,8,14
FOODS_3_547,FOODS_3,12,5,0,3,0,0,0,0,0,0,0,5,13,6,0,4,0,101,0,2,1,4,12,2,16,18,10,8,6,9,13,8,5,8,2,3,4,2,5,2,5,0,4,0,0,4,7,6,3,4,7,9,18,14,10,6,6,31,2,2,8,2,4,40,25,4,12,5,4,1,6,2,7,2,2,55,2,6,5,15,5,13,3,3,3,4,26,3,5,1,4,12,0,0,9,4,0,5,1,0
FOODS_3_811,FOODS_3,14,6,19,9,7,11,31,19,22,14,16,15,3,13,17,18,13,14,19,22,10,12,28,12,13,13,16,7,14,16,14,11,10,7,14,11,10,6,7,17,6,16,14,17,4,9,4,7,34,25,20,23,37,3,7,11,15,26,10,9,14,14,19,14,24,8,7,4,5,14,16,10,11,6,8,6,8,11,13,6,12,7,9,10,14,21,17,24,23,13,19,22,32,5,14,12,12,19,20,28
FOODS_3_702,FOODS_3,13,4,10,19,9,3,7,6,5,16,11,10,5,5,10,3,22,10,4,4,11,5,10,18,7,13,9,5,6,9,17,8,4,0,1,9,6,7,7,4,6,7,5,9,6,7,5,5,8,9,12,6,3,4,2,3,3,7,27,3,2,5,11,11,7,10,2,10,11,8,6,9,20,17,17,24,23,36,27,16,19,26,24,19,38,21,44,20,24,19,29,29,30,27,21,12,26,28,32,28
FOODS_3_412,FOODS_3,14,5,10,10,10,0,1,9,6,2,6,20,5,5,9,25,1,57,3,5,1,5,13,28,12,15,1,1,9,6,17,3,3,5,9,3,3,4,10,8,3,6,9,1,0,8,5,2,12,2,6,6,24,17,4,12,5,8,12,0,2,0,4,0,14,24,5,4,9,8,2,10,3,8,8,11,0,10,3,8,8,12,1,2,8,10,0,6,5,0,8,1,8,4,4,6,1,8,4,14
FOODS_3_580,FOODS_3,2,10,7,2,4,0,2,6,7,2,13,13,2,4,12,10,4,63,0,7,1,14,11,14,5,3,4,0,8,10,9,8,2,21,4,4,1,0,8,2,4,2,10,6,5,12,4,3,4,8,7,15,20,3,2,6,11,11,10,6,0,12,6,7,0,0,0,12,12,2,1,8,6,6,0,6,1,9,15,2,4,4,2,14,12,7,12,13,47,0,4,3,11,2,8,4,0,12,16,3
FOODS_3_458,FOODS_3,23,29,24,13,16,15,18,19,19,21,16,20,11,26,27,23,16,20,13,15,14,18,23,15,25,10,14,16,23,23,13,23,17,22,24,41,16,12,17,17,19,23,18,21,14,20,22,14,14,25,19,19,16,25,16,25,10,21,18,14,22,20,22,35,24,14,15,16,7,18,21,28,8,10,13,18,22,19,20,14,14,20,12,9,11,19,16,16,17,11,26,13,27,16,21,21,16,16,22,24
FOODS_3_313,FOODS_3,20,21,33,13,15,15,17,21,22,13,21,9,19,12,23,43,23,23,11,20,13,26,14,25,17,10,9,12,22,18,18,22,17,20,10,21,27,19,18,10,9,16,10,16,18,17,13,14,14,17,22,15,16,17,8,15,14,21,0,9,16,14,0,0,22,19,11,4,13,10,16,21,10,10,6,15,11,17,12,18,17,4,11,9,2,11,16,17,9,7,9,9,5,12,8,14,8,11,13,25
FOODS_3_377,FOODS_3,14,14,7,5,10,6,6,10,10,3,9,9,11,7,12,4,8,12,9,12,9,6,12,11,7,11,10,9,7,9,15,11,8,8,10,11,14,9,14,6,12,8,10,8,5,10,7,9,13,11,13,14,8,12,14,11,11,10,5,11,9,11,7,9,15,27,17,19,13,16,19,14,10,13,5,9,7,19,11,13,14,16,12,12,10,13,15,11,12,6,8,12,19,6,14,14,11,13,13,9
FOODS_3_785,FOODS_3,0,2,0,0,0,0,0,0,0,4,0,0,4,2,0,0,1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,28,17,11,19,27,46,20,11,12,4,40,27,23,11,26,40,10,9,23,26,21,28,12,12,20,27,26,14,16,32,14,31,27
FOODS_3_348,FOODS_3,19,14,32,21,8,8,11,15,11,9,7,10,6,0,6,13,8,4,7,12,1,7,18,12,5,9,9,11,19,10,12,13,15,4,15,26,16,13,9,2,1,5,8,9,12,3,0,21,9,13,27,6,22,20,5,12,6,23,12,13,8,9,7,16,13,8,8,22,4,13,9,13,12,4,7,1,3,11,18,5,6,9,4,6,6,9,25,3,8,6,8,12,13,17,5,9,10,6,9,10
FOODS_3_150,FOODS_3,9,4,11,9,3,8,4,14,10,7,5,4,4,25,8,4,4,8,5,15,9,13,6,12,6,9,8,7,10,10,7,2,6,4,13,13,9,11,7,14,7,12,5,9,6,11,7,1,16,16,14,6,7,11,5,10,17,12,10,7,7,11,12,10,14,4,7,7,2,10,10,9,9,3,8,4,19,5,8,9,0,3,2,1,2,5,21,3,15,4,8,12,4,5,6,20,16,12,19,18
FOODS_3_404,FOODS_3,19,8,16,17,14,8,12,21,30,9,16,9,18,6,17,14,12,5,9,7,12,14,7,15,7,4,9,14,12,18,18,6,9,14,3,13,25,9,5,5,14,13,5,31,23,2,13,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FOODS_3_109,FOODS_3,4,2,3,5,4,1,0,0,0,6,2,0,0,0,0,0,0,5,2,4,4,4,5,5,5,7,4,2,6,4,1,7,3,1,5,1,0,1,4,6,1,7,6,6,0,0,0,1,1,6,1,4,7,6,6,8,6,5,1,5,2,2,6,9,14,3,0,1,1,2,7,3,0,1,2,3,2,6,3,2,3,2,4,5,3,0,1,0,3,8,3,1,8,7,3,5,0,4,7,5
