item_id,dept_id,Popularity,Volatility,Sparsity,product_name
FOODS_3_474,FOODS_3,18169,0.74,10.0,Horizon Russet Potatoes (5lb)
FOODS_3_755,FOODS_3,18092,0.81,2.0,Nestle Yellow Onions
FOODS_3_570,FOODS_3,17929,0.5,5.0,Horizon Tortilla Chips
FOODS_1_004,FOODS_1,17698,0.8,77.0,Kelloggs Unsalted Sweet Cream Butter
FOODS_3_327,FOODS_3,17360,0.93,18.0,Dole Granola Bars (Oats)
FOODS_3_516,FOODS_3,17326,0.45,0.0,Kelloggs Iceberg Lettuce
FOODS_2_326,FOODS_2,17165,0.69,3.0,General Mills Pork Loin Chops
FOODS_3_226,FOODS_3,17054,0.33,0.0,Organic Valley Russet Potatoes (5lb)
FOODS_3_228,FOODS_3,17023,0.4,0.0,Kelloggs Yellow Onions
FOODS_3_403,FOODS_3,16918,0.53,2.0,Nestle Organic Bananas (Bunch)
FOODS_1_018,FOODS_1,16776,0.53,0.0,Organic Valley Shredded Mozzarella
FOODS_3_263,FOODS_3,16712,0.34,0.0,Dole Marinara Pasta Sauce
FOODS_2_371,FOODS_2,16039,0.49,0.0,Nestle Beef Chuck Roast
FOODS_3_668,FOODS_3,15921,0.47,0.0,Stonyfield Granola Bars (Oats)
FOODS_3_351,FOODS_3,15849,0.66,0.0,Quaker White Rice (2lb)
FOODS_3_594,FOODS_3,15659,5.29,67.0,Organic Valley Baby Carrots Bag
FOODS_3_816,FOODS_3,15480,1.39,32.0,Great Value White Rice (2lb)
FOODS_3_503,FOODS_3,15450,0.54,2.0,Dole Peanut Butter (Creamy)
FOODS_3_757,FOODS_3,15244,0.38,25.0,Kraft Sparkling Water (Lime)
FOODS_1_170,FOODS_1,15141,0.4,1.0,Horizon Vanilla Bean Yogurt
FOODS_3_695,FOODS_3,14909,0.48,1.0,Dole Sparkling Water (Lime)
FOODS_3_787,FOODS_3,14848,0.89,24.0,Nestle Tortilla Chips
FOODS_3_449,FOODS_3,14801,0.47,11.0,Marketside Marinara Pasta Sauce
FOODS_3_526,FOODS_3,14752,1.86,26.0,Nature Valley English Muffins
FOODS_3_473,FOODS_3,14741,0.43,2.0,Tyson Strawberry Jam
FOODS_1_110,FOODS_1,14739,0.57,68.0,Nature Valley Vanilla Bean Yogurt
FOODS_3_789,FOODS_3,14729,0.33,8.0,Kraft Honey Nut Cereal
FOODS_2_325,FOODS_2,14621,0.69,1.0,Kraft Frozen Lasagna
FOODS_3_413,FOODS_3,14577,0.56,5.0,Annie's White Rice (2lb)
FOODS_3_446,FOODS_3,14536,0.8,15.0,Nature Valley Tortilla Chips
FOODS_3_468,FOODS_3,14443,0.49,5.0,Kelloggs Potato Chips (Classic)
FOODS_3_070,FOODS_3,14440,1.28,19.0,General Mills Strawberry Jam
FOODS_3_113,FOODS_3,13882,0.8,17.0,Marketside Iceberg Lettuce
FOODS_3_124,FOODS_3,13770,0.53,4.0,Stonyfield Organic Bananas (Bunch)
FOODS_3_030,FOODS_3,13722,0.42,0.0,Nature Valley English Muffins
FOODS_3_572,FOODS_3,13670,0.33,0.0,Stonyfield Honey Nut Cereal
FOODS_1_184,FOODS_1,13629,1.11,20.0,Chobani Unsalted Sweet Cream Butter
FOODS_1_173,FOODS_1,13530,0.63,4.0,Annie's Blueberry Yogurt 4pk
FOODS_3_469,FOODS_3,13425,0.48,3.0,Kraft Classic Cola 2L
FOODS_3_219,FOODS_3,13410,0.85,2.0,Silk Sliced White Bread
FOODS_3_476,FOODS_3,13251,0.72,9.0,Stonyfield Yellow Onions
FOODS_3_738,FOODS_3,13191,0.91,9.0,Organic Valley Green Seedless Grapes
FOODS_3_792,FOODS_3,13181,0.89,11.0,Chobani Granola Bars (Oats)
FOODS_2_293,FOODS_2,13148,0.48,5.0,Kraft Salami Trio
FOODS_1_032,FOODS_1,13107,0.78,9.0,Great Value Large Grade A Eggs (12ct)
FOODS_3_444,FOODS_3,13065,0.82,81.0,Stonyfield White Rice (2lb)
FOODS_3_688,FOODS_3,13053,0.53,4.0,Great Value Whole Wheat Bread
FOODS_3_511,FOODS_3,12733,0.41,0.0,Quaker Marinara Pasta Sauce
FOODS_3_116,FOODS_3,12602,0.72,24.0,Kelloggs Roasted Peanuts
FOODS_1_046,FOODS_1,12554,0.81,5.0,Nature Valley Half & Half Creamer
FOODS_2_016,FOODS_2,12508,1.02,19.0,Great Value Corned Beef
FOODS_3_574,FOODS_3,12446,0.8,6.0,Nature Valley Spaghetti Noodles
FOODS_1_067,FOODS_1,12389,0.75,11.0,Nestle Sour Cream (16oz)
FOODS_1_055,FOODS_1,12305,0.68,1.0,Dole Soy Milk (Vanilla)
FOODS_3_305,FOODS_3,12019,0.51,26.0,Marketside Avocados (Hass)
FOODS_3_258,FOODS_3,11991,0.41,12.0,Organic Valley White Rice (2lb)
FOODS_2_204,FOODS_2,11924,0.56,20.0,Stonyfield Raw Shrimp (Peeled)
FOODS_3_342,FOODS_3,11836,0.6,1.0,General Mills Red Gala Apples
FOODS_3_020,FOODS_3,11731,0.65,7.0,Kelloggs Iceberg Lettuce
FOODS_3_363,FOODS_3,11575,0.78,6.0,Silk Chocolate Chip Cookies
FOODS_3_546,FOODS_3,11573,0.87,11.0,Organic Valley Black Beans (15oz)
FOODS_3_704,FOODS_3,11365,0.82,6.0,Great Value Chocolate Chip Cookies
FOODS_1_085,FOODS_1,11121,0.55,2.0,Kraft Soy Milk (Vanilla)
FOODS_3_231,FOODS_3,11114,0.47,0.0,Dole Honey Nut Cereal
FOODS_3_136,FOODS_3,11027,0.38,1.0,Chobani Tortilla Chips
FOODS_1_217,FOODS_1,10977,0.92,4.0,Tyson Sour Cream (16oz)
FOODS_2_013,FOODS_2,10957,0.55,8.0,Annie's Mixed Vegetable Medley
FOODS_1_012,FOODS_1,10921,0.0,63.0,Stonyfield Cottage Cheese (Low Fat)
FOODS_1_162,FOODS_1,10861,0.74,7.0,Organic Valley Cottage Cheese (Low Fat)
FOODS_2_241,FOODS_2,10757,0.36,1.0,Marketside Ground Beef (93% Lean)
FOODS_3_407,FOODS_3,10569,0.65,2.0,Dole Classic Cola 2L
FOODS_2_315,FOODS_2,10540,0.58,6.0,Silk Meatball Sub Kit
FOODS_3_283,FOODS_3,10523,0.79,6.0,Silk Classic Cola 2L
FOODS_1_058,FOODS_1,10502,1.04,78.0,Horizon Parmesan Shaker
FOODS_3_822,FOODS_3,10441,0.46,3.0,General Mills Spaghetti Noodles
FOODS_3_664,FOODS_3,10123,0.84,22.0,Chobani Sparkling Water (Lime)
FOODS_3_304,FOODS_3,10090,0.7,10.0,Great Value Green Seedless Grapes
FOODS_3_324,FOODS_3,10073,0.59,49.0,Kelloggs Honey Nut Cereal
FOODS_3_259,FOODS_3,10051,0.4,0.0,Nestle Yellow Onions
FOODS_3_285,FOODS_3,9908,0.76,5.0,Annie's Whole Wheat Bread
FOODS_3_800,FOODS_3,9908,0.7,9.0,Great Value Green Seedless Grapes
FOODS_3_772,FOODS_3,9849,0.53,0.0,Kelloggs Pretzels
FOODS_2_222,FOODS_2,9784,0.58,7.0,Nature Valley Frozen French Fries
FOODS_2_380,FOODS_2,9772,0.43,2.0,Stonyfield Hot Dogs (8ct)
FOODS_3_441,FOODS_3,9725,0.0,100.0,Tyson Peanut Butter (Creamy)
FOODS_3_054,FOODS_3,9537,0.88,50.0,General Mills Roasted Peanuts
FOODS_3_148,FOODS_3,9526,0.9,18.0,Kelloggs Instant Coffee
FOODS_3_346,FOODS_3,9494,0.74,16.0,Horizon Baby Carrots Bag
FOODS_1_019,FOODS_1,9482,0.98,20.0,Nestle Swiss Cheese Slices
FOODS_3_753,FOODS_3,9478,0.62,1.0,Marketside Russet Potatoes (5lb)
FOODS_3_118,FOODS_3,9463,0.7,6.0,General Mills Green Seedless Grapes
FOODS_3_339,FOODS_3,9411,0.61,8.0,Nestle Fruit Snacks
FOODS_2_029,FOODS_2,9362,0.49,0.0,Annie's Veggie Burgers
FOODS_3_477,FOODS_3,9351,0.61,5.0,Annie's Tortilla Chips
FOODS_2_240,FOODS_2,9297,0.98,79.0,Great Value Chicken Breast (Boneless)
FOODS_1_161,FOODS_1,9265,0.83,4.0,Marketside Oat Milk (Barista Blend)
FOODS_3_299,FOODS_3,9229,0.61,7.0,Silk Iceberg Lettuce
FOODS_3_801,FOODS_3,9142,0.61,4.0,Marketside Avocados (Hass)
FOODS_3_617,FOODS_3,9139,0.61,9.0,Tyson Pretzels
FOODS_3_108,FOODS_3,9076,0.68,10.0,Stonyfield Marinara Pasta Sauce
FOODS_2_054,FOODS_2,8998,0.61,17.0,General Mills Raw Shrimp (Peeled)
FOODS_3_131,FOODS_3,8889,0.71,7.0,Nestle Peanut Butter (Creamy)
FOODS_3_177,FOODS_3,8888,0.89,7.0,Marketside Chocolate Chip Cookies
FOODS_1_104,FOODS_1,8861,1.19,19.0,Chobani Probiotic Drink
FOODS_3_135,FOODS_3,8826,0.33,0.0,Dole Yellow Onions
FOODS_3_809,FOODS_3,8795,0.78,4.0,Tyson Potato Chips (Classic)
FOODS_2_164,FOODS_2,8778,0.62,21.0,Kelloggs Breakfast Burritos
FOODS_3_794,FOODS_3,8723,0.69,16.0,Horizon Black Beans (15oz)
FOODS_3_355,FOODS_3,8716,1.08,33.0,Nestle Honey Nut Cereal
FOODS_3_274,FOODS_3,8715,1.17,37.0,Organic Valley Avocados (Hass)
FOODS_3_399,FOODS_3,8687,0.89,18.0,Quaker Bagged Salad Mix
FOODS_3_064,FOODS_3,8632,0.72,10.0,Great Value Sliced White Bread
FOODS_3_265,FOODS_3,8577,0.74,13.0,Tyson Granola Bars (Oats)
FOODS_2_318,FOODS_2,8498,0.28,0.0,Nature Valley Tilapia Fillets
FOODS_3_101,FOODS_3,8424,0.64,3.0,Kraft Strawberry Jam
FOODS_2_299,FOODS_2,8401,0.65,16.0,Silk Veggie Burgers
FOODS_3_534,FOODS_3,8290,0.47,20.0,General Mills Peanut Butter (Creamy)
FOODS_3_300,FOODS_3,8288,0.95,12.0,Stonyfield Roma Tomatoes
FOODS_3_037,FOODS_3,8227,0.91,14.0,Kraft Whole Wheat Bread
FOODS_3_782,FOODS_3,8210,0.52,2.0,Nature Valley Peanut Butter (Creamy)
FOODS_1_086,FOODS_1,8179,0.91,21.0,General Mills Cage Free Brown Eggs
FOODS_3_562,FOODS_3,8173,0.57,4.0,Organic Valley Classic Cola 2L
FOODS_1_137,FOODS_1,8155,1.03,28.0,Tyson Margarine Tub
FOODS_3_481,FOODS_3,8104,0.76,11.0,Marketside Spaghetti Noodles
FOODS_1_061,FOODS_1,8033,0.72,13.0,Annie's 2% Reduced Fat Milk
FOODS_3_349,FOODS_3,8028,0.46,0.0,Annie's Strawberry Jam
FOODS_3_783,FOODS_3,7932,0.77,17.0,Quaker Strawberry Jam
FOODS_1_219,FOODS_1,7896,0.67,14.0,Silk Almond Milk (Unsweetened)
FOODS_3_682,FOODS_3,7889,0.28,3.0,Horizon Organic Bananas (Bunch)
FOODS_3_039,FOODS_3,7870,0.4,0.0,Dole Strawberry Jam
FOODS_3_807,FOODS_3,7863,1.32,22.0,Dole Red Gala Apples
FOODS_2_152,FOODS_2,7854,0.48,7.0,Chobani Frozen Pepperoni Pizza
FOODS_3_636,FOODS_3,7848,0.56,14.0,Stonyfield Spaghetti Noodles
FOODS_3_725,FOODS_3,7810,0.61,5.0,Kraft Tortilla Chips
FOODS_3_290,FOODS_3,7803,1.61,31.0,Organic Valley Yellow Onions
FOODS_3_692,FOODS_3,7786,1.24,14.0,Kelloggs White Rice (2lb)
FOODS_3_230,FOODS_3,7777,0.51,3.0,General Mills Sparkling Water (Lime)
FOODS_3_540,FOODS_3,7752,0.43,0.0,Stonyfield Sparkling Water (Lime)
FOODS_2_233,FOODS_2,7742,0.82,18.0,Tyson Salami Trio
FOODS_3_651,FOODS_3,7720,0.99,14.0,Silk Organic Bananas (Bunch)
FOODS_1_154,FOODS_1,7710,0.92,8.0,Horizon Unsalted Sweet Cream Butter
FOODS_3_151,FOODS_3,7696,0.39,1.0,Dole Bagged Salad Mix
FOODS_3_127,FOODS_3,7663,0.48,5.0,Quaker Potato Chips (Classic)
FOODS_3_087,FOODS_3,7582,0.61,3.0,Dole Green Seedless Grapes
FOODS_2_374,FOODS_2,7551,0.48,11.0,General Mills Breakfast Burritos
FOODS_3_368,FOODS_3,7511,0.82,8.0,Great Value Bagged Salad Mix
FOODS_3_067,FOODS_3,7489,0.5,8.0,Nestle Baby Carrots Bag
FOODS_3_332,FOODS_3,7430,0.67,17.0,Stonyfield Chocolate Chip Cookies
FOODS_2_199,FOODS_2,7387,0.77,9.0,Dole Turkey Bacon
FOODS_3_655,FOODS_3,7371,1.01,28.0,Quaker Classic Cola 2L
FOODS_1_183,FOODS_1,7332,1.0,12.0,Dole Greek Strawberry Yogurt
FOODS_3_652,FOODS_3,7307,0.56,5.0,Stonyfield Red Gala Apples
FOODS_1_108,FOODS_1,7263,1.24,29.0,Stonyfield Shredded Mozzarella
FOODS_3_505,FOODS_3,7260,0.66,7.0,Tyson Russet Potatoes (5lb)
FOODS_3_818,FOODS_3,7243,1.47,13.0,Organic Valley Tortilla Chips
FOODS_3_367,FOODS_3,7222,0.81,9.0,Quaker Avocados (Hass)
FOODS_3_023,FOODS_3,7212,0.48,7.0,Dole Roasted Peanuts
FOODS_3_227,FOODS_3,7151,0.64,4.0,Nestle White Rice (2lb)
FOODS_3_201,FOODS_3,7125,0.61,5.0,Tyson Marinara Pasta Sauce
FOODS_3_598,FOODS_3,7092,0.8,4.0,General Mills Russet Potatoes (5lb)
FOODS_2_131,FOODS_2,7089,0.34,0.0,Nestle Beef Chuck Roast
FOODS_2_359,FOODS_2,7080,0.75,17.0,Dole Veggie Burgers
FOODS_3_727,FOODS_3,7077,0.46,7.0,Dole Honey Nut Cereal
FOODS_3_079,FOODS_3,7061,0.71,8.0,Quaker Granola Bars (Oats)
FOODS_1_150,FOODS_1,7053,0.79,14.0,General Mills Whole Milk (1 gal)
FOODS_3_530,FOODS_3,7053,0.51,4.0,Organic Valley Potato Chips (Classic)
FOODS_2_183,FOODS_2,7043,0.71,8.0,Dole Beef Patties (1/4 lb)
FOODS_1_196,FOODS_1,7000,1.17,33.0,Kelloggs Half & Half Creamer
FOODS_3_369,FOODS_3,6994,0.59,5.0,Marketside Pretzels
FOODS_3_393,FOODS_3,6980,0.42,2.0,Tyson Roma Tomatoes
FOODS_3_330,FOODS_3,6943,0.78,16.0,Horizon Iceberg Lettuce
FOODS_2_294,FOODS_2,6940,0.72,11.0,General Mills Raw Shrimp (Peeled)
FOODS_3_819,FOODS_3,6938,1.04,31.0,Nestle Sparkling Water (Lime)
FOODS_3_614,FOODS_3,6933,0.0,70.0,General Mills Green Seedless Grapes
FOODS_3_097,FOODS_3,6919,0.85,19.0,Marketside Classic Cola 2L
FOODS_3_076,FOODS_3,6812,0.51,1.0,Stonyfield Honey Nut Cereal
FOODS_2_030,FOODS_2,6771,0.82,18.0,Nature Valley Chicken Breast (Boneless)
FOODS_3_203,FOODS_3,6769,0.76,8.0,Silk Granola Bars (Oats)
FOODS_2_349,FOODS_2,6738,0.61,4.0,Annie's Turkey Bacon
FOODS_3_434,FOODS_3,6718,1.03,30.0,Organic Valley Organic Bananas (Bunch)
FOODS_3_378,FOODS_3,6674,0.62,14.0,Horizon Whole Wheat Bread
FOODS_3_121,FOODS_3,6644,0.49,2.0,Tyson Pretzels
FOODS_3_144,FOODS_3,6598,0.57,3.0,Great Value Iceberg Lettuce
FOODS_3_460,FOODS_3,6585,0.76,14.0,Stonyfield Avocados (Hass)
FOODS_1_088,FOODS_1,6532,0.71,7.0,Chobani Parmesan Shaker
FOODS_3_672,FOODS_3,6489,1.16,24.0,Great Value Roma Tomatoes
FOODS_2_388,FOODS_2,6460,0.65,13.0,Kelloggs Frozen Peaches
FOODS_3_750,FOODS_3,6444,0.66,37.0,Nature Valley Whole Wheat Bread
FOODS_3_475,FOODS_3,6421,0.82,23.0,Silk White Rice (2lb)
FOODS_2_075,FOODS_2,6410,0.61,5.0,Silk Meatball Sub Kit
FOODS_3_093,FOODS_3,6409,1.24,13.0,Annie's Organic Bananas (Bunch)
FOODS_3_435,FOODS_3,6402,0.59,4.0,Nestle Red Gala Apples
FOODS_3_592,FOODS_3,6366,0.57,18.0,Great Value Potato Chips (Classic)
FOODS_2_166,FOODS_2,6331,1.34,81.0,General Mills Corned Beef
FOODS_3_317,FOODS_3,6321,1.13,21.0,Annie's Peanut Butter (Creamy)
FOODS_1_099,FOODS_1,6311,0.51,3.0,Nestle Almond Milk (Unsweetened)
FOODS_3_610,FOODS_3,6289,0.86,13.0,Organic Valley Roma Tomatoes
FOODS_3_805,FOODS_3,6281,0.95,31.0,Kraft English Muffins
FOODS_3_732,FOODS_3,6258,1.05,63.0,Stonyfield Black Beans (15oz)
FOODS_2_342,FOODS_2,6253,0.52,3.0,General Mills Frozen French Fries
FOODS_3_307,FOODS_3,6247,0.33,0.0,Nestle Pretzels
FOODS_3_674,FOODS_3,6202,0.89,13.0,Organic Valley Roasted Peanuts
FOODS_3_089,FOODS_3,6202,0.0,57.0,Tyson Bagged Salad Mix
FOODS_3_634,FOODS_3,6168,0.52,7.0,Horizon Honey Nut Cereal
FOODS_3_232,FOODS_3,6147,0.5,11.0,Chobani Marinara Pasta Sauce
FOODS_3_578,FOODS_3,6111,0.56,65.0,Organic Valley Iceberg Lettuce
FOODS_3_191,FOODS_3,6110,0.82,31.0,Quaker Baby Carrots Bag
FOODS_3_742,FOODS_3,6067,0.99,27.0,General Mills Fruit Snacks
FOODS_1_210,FOODS_1,6060,0.75,73.0,Organic Valley Whole Milk (1 gal)
FOODS_3_689,FOODS_3,6048,0.5,4.0,Marketside Peanut Butter (Creamy)
FOODS_3_638,FOODS_3,6046,0.72,5.0,Nature Valley Canned Sweet Corn
FOODS_3_292,FOODS_3,6005,0.44,4.0,Kelloggs Sparkling Water (Lime)
FOODS_2_194,FOODS_2,6005,0.78,22.0,Organic Valley Breakfast Burritos
FOODS_3_661,FOODS_3,5992,0.41,0.0,Kraft White Rice (2lb)
FOODS_3_459,FOODS_3,5984,0.79,11.0,Silk Green Seedless Grapes
FOODS_3_632,FOODS_3,5963,0.65,6.0,Chobani Tortilla Chips
FOODS_3_654,FOODS_3,5933,0.5,0.0,Nature Valley Potato Chips (Classic)
FOODS_3_372,FOODS_3,5932,0.56,1.0,Kelloggs Organic Bananas (Bunch)
FOODS_3_066,FOODS_3,5931,0.48,0.0,Organic Valley Classic Cola 2L
FOODS_3_139,FOODS_3,5924,0.48,11.0,Silk Marinara Pasta Sauce
FOODS_3_132,FOODS_3,5912,0.65,24.0,Kelloggs Strawberry Jam
FOODS_3_042,FOODS_3,5869,0.49,16.0,Horizon Yellow Onions
FOODS_3_236,FOODS_3,5867,0.5,19.0,Stonyfield Black Beans (15oz)
FOODS_2_101,FOODS_2,5830,0.6,14.0,Kraft Beef Chuck Roast
FOODS_1_106,FOODS_1,5822,1.06,30.0,Horizon Half & Half Creamer
FOODS_3_257,FOODS_3,5805,0.71,11.0,Marketside Russet Potatoes (5lb)
FOODS_3_788,FOODS_3,5785,0.62,9.0,Kelloggs Sparkling Water (Lime)
FOODS_3_021,FOODS_3,5778,1.01,33.0,Kraft Roma Tomatoes
FOODS_3_026,FOODS_3,5775,1.06,34.0,Horizon Avocados (Hass)
FOODS_3_786,FOODS_3,5771,1.04,22.0,Organic Valley Yellow Onions
FOODS_2_061,FOODS_2,5762,0.77,21.0,Annie's Ground Beef (93% Lean)
FOODS_2_082,FOODS_2,5741,0.57,5.0,Organic Valley Ice Cream (Vanilla Bean)
FOODS_3_279,FOODS_3,5727,0.94,10.0,Dole Organic Bananas (Bunch)
FOODS_3_117,FOODS_3,5692,1.11,21.0,Kraft Instant Coffee
FOODS_3_793,FOODS_3,5678,0.45,7.0,Tyson Canned Sweet Corn
FOODS_3_014,FOODS_3,5650,1.0,37.0,Nature Valley Honey Nut Cereal
FOODS_3_721,FOODS_3,5646,1.75,41.0,Marketside Strawberry Jam
FOODS_3_115,FOODS_3,5638,1.04,29.0,Nestle Chocolate Chip Cookies
FOODS_1_083,FOODS_1,5624,0.67,15.0,Nestle Blueberry Yogurt 4pk
FOODS_3_059,FOODS_3,5610,1.38,15.0,Silk Pretzels
FOODS_3_154,FOODS_3,5589,0.88,28.0,Horizon English Muffins
FOODS_3_176,FOODS_3,5585,1.39,36.0,Great Value Roma Tomatoes
FOODS_3_238,FOODS_3,5550,0.58,11.0,Nature Valley Roma Tomatoes
FOODS_1_023,FOODS_1,5499,0.63,3.0,Dole Blueberry Yogurt 4pk
FOODS_3_217,FOODS_3,5497,0.95,23.0,Tyson Organic Bananas (Bunch)
FOODS_3_156,FOODS_3,5463,0.77,28.0,Stonyfield Red Gala Apples
FOODS_2_056,FOODS_2,5423,0.48,6.0,Chobani Pork Loin Chops
FOODS_2_357,FOODS_2,5410,1.01,26.0,Kraft Breaded Fish Sticks
FOODS_3_041,FOODS_3,5393,0.68,3.0,Tyson White Rice (2lb)
