item_id,dept_id,product_name
FOODS_3_702,FOODS_3,Nature Valley Iceberg Lettuce
FOODS_3_412,FOODS_3,Stonyfield Russet Potatoes (5lb)
FOODS_3_580,FOODS_3,Kelloggs Chocolate Chip Cookies
FOODS_3_458,FOODS_3,Horizon Instant Coffee
FOODS_3_313,FOODS_3,Tyson Potato Chips (Classic)
FOODS_3_377,FOODS_3,Tyson Baby Carrots Bag
FOODS_3_785,FOODS_3,Marketside White Rice (2lb)
FOODS_3_348,FOODS_3,Stonyfield Peanut Butter (Creamy)
FOODS_3_150,FOODS_3,General Mills Avocados (Hass)
FOODS_3_404,FOODS_3,Kelloggs Red Gala Apples
FOODS_3_109,FOODS_3,Annie's Spaghetti Noodles
FOODS_3_767,FOODS_3,Quaker Roasted Peanuts
FOODS_3_524,FOODS_3,Stonyfield Pretzels
FOODS_1_218,FOODS_1,Horizon Heavy Whipping Cream
FOODS_3_741,FOODS_3,Kraft Pretzels
FOODS_2_128,FOODS_2,Great Value Atlantic Salmon Fillet
FOODS_1_043,FOODS_1,Silk Orange Juice (No Pulp)
FOODS_3_746,FOODS_3,Horizon Sliced White Bread
FOODS_3_697,FOODS_3,Tyson Marinara Pasta Sauce
FOODS_3_245,FOODS_3,Kraft Pretzels
FOODS_3_086,FOODS_3,General Mills Instant Coffee
FOODS_3_756,FOODS_3,Kelloggs Tortilla Chips
FOODS_2_181,FOODS_2,Kraft Ground Beef (93% Lean)
FOODS_3_744,FOODS_3,Chobani Organic Bananas (Bunch)
FOODS_3_107,FOODS_3,Silk Honey Nut Cereal
FOODS_3_769,FOODS_3,Marketside Green Seedless Grapes
FOODS_3_133,FOODS_3,Kraft Russet Potatoes (5lb)
FOODS_3_233,FOODS_3,Tyson Spaghetti Noodles
FOODS_3_734,FOODS_3,Nature Valley Roma Tomatoes
FOODS_2_021,FOODS_2,Kraft Frozen Spinich
FOODS_3_454,FOODS_3,General Mills Iceberg Lettuce
FOODS_3_474,FOODS_3,Horizon Russet Potatoes (5lb)
FOODS_3_755,FOODS_3,Nestle Yellow Onions
FOODS_3_570,FOODS_3,Horizon Tortilla Chips
FOODS_1_004,FOODS_1,Kelloggs Unsalted Sweet Cream Butter
FOODS_3_327,FOODS_3,Dole Granola Bars (Oats)
FOODS_3_516,FOODS_3,Kelloggs Iceberg Lettuce
FOODS_2_326,FOODS_2,General Mills Pork Loin Chops
FOODS_3_226,FOODS_3,Organic Valley Russet Potatoes (5lb)
FOODS_3_228,FOODS_3,Kelloggs Yellow Onions
FOODS_3_403,FOODS_3,Nestle Organic Bananas (Bunch)
FOODS_1_018,FOODS_1,Organic Valley Shredded Mozzarella
FOODS_3_263,FOODS_3,Dole Marinara Pasta Sauce
FOODS_2_371,FOODS_2,Nestle Beef Chuck Roast
FOODS_3_668,FOODS_3,Stonyfield Granola Bars (Oats)
FOODS_3_351,FOODS_3,Quaker White Rice (2lb)
FOODS_3_594,FOODS_3,Organic Valley Baby Carrots Bag
FOODS_3_816,FOODS_3,Great Value White Rice (2lb)
FOODS_3_503,FOODS_3,Dole Peanut Butter (Creamy)
FOODS_3_757,FOODS_3,Kraft Sparkling Water (Lime)
FOODS_1_170,FOODS_1,Horizon Vanilla Bean Yogurt
FOODS_3_695,FOODS_3,Dole Sparkling Water (Lime)
FOODS_3_787,FOODS_3,Nestle Tortilla Chips
FOODS_3_449,FOODS_3,Marketside Marinara Pasta Sauce
FOODS_3_526,FOODS_3,Nature Valley English Muffins
FOODS_3_473,FOODS_3,Tyson Strawberry Jam
FOODS_1_110,FOODS_1,Nature Valley Vanilla Bean Yogurt
FOODS_3_789,FOODS_3,Kraft Honey Nut Cereal
FOODS_2_325,FOODS_2,Kraft Frozen Lasagna
FOODS_3_413,FOODS_3,Annie's White Rice (2lb)
FOODS_3_446,FOODS_3,Nature Valley Tortilla Chips
FOODS_3_468,FOODS_3,Kelloggs Potato Chips (Classic)
FOODS_3_070,FOODS_3,General Mills Strawberry Jam
FOODS_3_113,FOODS_3,Marketside Iceberg Lettuce
FOODS_3_124,FOODS_3,Stonyfield Organic Bananas (Bunch)
FOODS_3_030,FOODS_3,Nature Valley English Muffins
FOODS_3_572,FOODS_3,Stonyfield Honey Nut Cereal
FOODS_1_184,FOODS_1,Chobani Unsalted Sweet Cream Butter
FOODS_1_173,FOODS_1,Annie's Blueberry Yogurt 4pk
FOODS_3_469,FOODS_3,Kraft Classic Cola 2L
FOODS_3_219,FOODS_3,Silk Sliced White Bread
FOODS_3_476,FOODS_3,Stonyfield Yellow Onions
FOODS_3_738,FOODS_3,Organic Valley Green Seedless Grapes
FOODS_3_792,FOODS_3,Chobani Granola Bars (Oats)
FOODS_2_293,FOODS_2,Kraft Salami Trio
FOODS_1_032,FOODS_1,Great Value Large Grade A Eggs (12ct)
FOODS_3_444,FOODS_3,Stonyfield White Rice (2lb)
FOODS_3_688,FOODS_3,Great Value Whole Wheat Bread
FOODS_3_511,FOODS_3,Quaker Marinara Pasta Sauce
FOODS_3_116,FOODS_3,Kelloggs Roasted Peanuts
FOODS_1_046,FOODS_1,Nature Valley Half & Half Creamer
FOODS_2_016,FOODS_2,Great Value Corned Beef
FOODS_3_574,FOODS_3,Nature Valley Spaghetti Noodles
FOODS_1_067,FOODS_1,Nestle Sour Cream (16oz)
FOODS_1_055,FOODS_1,Dole Soy Milk (Vanilla)
FOODS_3_305,FOODS_3,Marketside Avocados (Hass)
FOODS_3_258,FOODS_3,Organic Valley White Rice (2lb)
FOODS_2_204,FOODS_2,Stonyfield Raw Shrimp (Peeled)
FOODS_3_342,FOODS_3,General Mills Red Gala Apples
FOODS_3_020,FOODS_3,Kelloggs Iceberg Lettuce
FOODS_3_363,FOODS_3,Silk Chocolate Chip Cookies
FOODS_3_546,FOODS_3,Organic Valley Black Beans (15oz)
FOODS_3_704,FOODS_3,Great Value Chocolate Chip Cookies
FOODS_1_085,FOODS_1,Kraft Soy Milk (Vanilla)
FOODS_3_231,FOODS_3,Dole Honey Nut Cereal
FOODS_3_136,FOODS_3,Chobani Tortilla Chips
FOODS_1_217,FOODS_1,Tyson Sour Cream (16oz)
FOODS_2_013,FOODS_2,Annie's Mixed Vegetable Medley
FOODS_1_012,FOODS_1,Stonyfield Cottage Cheese (Low Fat)
FOODS_1_162,FOODS_1,Organic Valley Cottage Cheese (Low Fat)
FOODS_2_241,FOODS_2,Marketside Ground Beef (93% Lean)
FOODS_3_407,FOODS_3,Dole Classic Cola 2L
FOODS_2_315,FOODS_2,Silk Meatball Sub Kit
FOODS_3_283,FOODS_3,Silk Classic Cola 2L
FOODS_1_058,FOODS_1,Horizon Parmesan Shaker
FOODS_3_822,FOODS_3,General Mills Spaghetti Noodles
FOODS_3_664,FOODS_3,Chobani Sparkling Water (Lime)
FOODS_3_304,FOODS_3,Great Value Green Seedless Grapes
FOODS_3_324,FOODS_3,Kelloggs Honey Nut Cereal
FOODS_3_259,FOODS_3,Nestle Yellow Onions
FOODS_3_285,FOODS_3,Annie's Whole Wheat Bread
FOODS_3_800,FOODS_3,Great Value Green Seedless Grapes
FOODS_3_772,FOODS_3,Kelloggs Pretzels
FOODS_2_222,FOODS_2,Nature Valley Frozen French Fries
FOODS_2_380,FOODS_2,Stonyfield Hot Dogs (8ct)
FOODS_3_441,FOODS_3,Tyson Peanut Butter (Creamy)
FOODS_3_054,FOODS_3,General Mills Roasted Peanuts
FOODS_3_148,FOODS_3,Kelloggs Instant Coffee
FOODS_3_346,FOODS_3,Horizon Baby Carrots Bag
FOODS_1_019,FOODS_1,Nestle Swiss Cheese Slices
FOODS_3_753,FOODS_3,Marketside Russet Potatoes (5lb)
FOODS_3_118,FOODS_3,General Mills Green Seedless Grapes
FOODS_3_339,FOODS_3,Nestle Fruit Snacks
FOODS_2_029,FOODS_2,Annie's Veggie Burgers
FOODS_3_477,FOODS_3,Annie's Tortilla Chips
FOODS_2_240,FOODS_2,Great Value Chicken Breast (Boneless)
FOODS_1_161,FOODS_1,Marketside Oat Milk (Barista Blend)
FOODS_3_299,FOODS_3,Silk Iceberg Lettuce
FOODS_3_801,FOODS_3,Marketside Avocados (Hass)
FOODS_3_617,FOODS_3,Tyson Pretzels
FOODS_3_108,FOODS_3,Stonyfield Marinara Pasta Sauce
FOODS_2_054,FOODS_2,General Mills Raw Shrimp (Peeled)
FOODS_3_131,FOODS_3,Nestle Peanut Butter (Creamy)
FOODS_3_177,FOODS_3,Marketside Chocolate Chip Cookies
FOODS_1_104,FOODS_1,Chobani Probiotic Drink
FOODS_3_135,FOODS_3,Dole Yellow Onions
FOODS_3_809,FOODS_3,Tyson Potato Chips (Classic)
FOODS_2_164,FOODS_2,Kelloggs Breakfast Burritos
FOODS_3_794,FOODS_3,Horizon Black Beans (15oz)
FOODS_3_355,FOODS_3,Nestle Honey Nut Cereal
FOODS_3_274,FOODS_3,Organic Valley Avocados (Hass)
FOODS_3_399,FOODS_3,Quaker Bagged Salad Mix
FOODS_3_064,FOODS_3,Great Value Sliced White Bread
FOODS_3_265,FOODS_3,Tyson Granola Bars (Oats)
FOODS_2_318,FOODS_2,Nature Valley Tilapia Fillets
FOODS_3_101,FOODS_3,Kraft Strawberry Jam
FOODS_2_299,FOODS_2,Silk Veggie Burgers
FOODS_3_534,FOODS_3,General Mills Peanut Butter (Creamy)
FOODS_3_300,FOODS_3,Stonyfield Roma Tomatoes
FOODS_3_037,FOODS_3,Kraft Whole Wheat Bread
FOODS_3_782,FOODS_3,Nature Valley Peanut Butter (Creamy)
FOODS_1_086,FOODS_1,General Mills Cage Free Brown Eggs
FOODS_3_562,FOODS_3,Organic Valley Classic Cola 2L
FOODS_1_137,FOODS_1,Tyson Margarine Tub
FOODS_3_481,FOODS_3,Marketside Spaghetti Noodles
FOODS_1_061,FOODS_1,Annie's 2% Reduced Fat Milk
FOODS_3_349,FOODS_3,Annie's Strawberry Jam
FOODS_3_783,FOODS_3,Quaker Strawberry Jam
FOODS_1_219,FOODS_1,Silk Almond Milk (Unsweetened)
FOODS_3_682,FOODS_3,Horizon Organic Bananas (Bunch)
FOODS_3_039,FOODS_3,Dole Strawberry Jam
FOODS_3_807,FOODS_3,Dole Red Gala Apples
FOODS_2_152,FOODS_2,Chobani Frozen Pepperoni Pizza
FOODS_3_636,FOODS_3,Stonyfield Spaghetti Noodles
FOODS_3_725,FOODS_3,Kraft Tortilla Chips
FOODS_3_290,FOODS_3,Organic Valley Yellow Onions
FOODS_3_692,FOODS_3,Kelloggs White Rice (2lb)
FOODS_3_230,FOODS_3,General Mills Sparkling Water (Lime)
FOODS_3_540,FOODS_3,Stonyfield Sparkling Water (Lime)
FOODS_2_233,FOODS_2,Tyson Salami Trio
FOODS_3_651,FOODS_3,Silk Organic Bananas (Bunch)
FOODS_1_154,FOODS_1,Horizon Unsalted Sweet Cream Butter
FOODS_3_151,FOODS_3,Dole Bagged Salad Mix
FOODS_3_127,FOODS_3,Quaker Potato Chips (Classic)
FOODS_3_087,FOODS_3,Dole Green Seedless Grapes
FOODS_2_374,FOODS_2,General Mills Breakfast Burritos
FOODS_3_368,FOODS_3,Great Value Bagged Salad Mix
FOODS_3_067,FOODS_3,Nestle Baby Carrots Bag
FOODS_3_332,FOODS_3,Stonyfield Chocolate Chip Cookies
FOODS_2_199,FOODS_2,Dole Turkey Bacon
FOODS_3_655,FOODS_3,Quaker Classic Cola 2L
FOODS_1_183,FOODS_1,Dole Greek Strawberry Yogurt
FOODS_3_652,FOODS_3,Stonyfield Red Gala Apples
FOODS_1_108,FOODS_1,Stonyfield Shredded Mozzarella
FOODS_3_505,FOODS_3,Tyson Russet Potatoes (5lb)
FOODS_3_818,FOODS_3,Organic Valley Tortilla Chips
FOODS_3_367,FOODS_3,Quaker Avocados (Hass)
FOODS_3_023,FOODS_3,Dole Roasted Peanuts
FOODS_3_227,FOODS_3,Nestle White Rice (2lb)
FOODS_3_201,FOODS_3,Tyson Marinara Pasta Sauce
FOODS_3_598,FOODS_3,General Mills Russet Potatoes (5lb)
FOODS_2_131,FOODS_2,Nestle Beef Chuck Roast
FOODS_2_359,FOODS_2,Dole Veggie Burgers
FOODS_3_727,FOODS_3,Dole Honey Nut Cereal
FOODS_3_079,FOODS_3,Quaker Granola Bars (Oats)
FOODS_1_150,FOODS_1,General Mills Whole Milk (1 gal)
FOODS_3_530,FOODS_3,Organic Valley Potato Chips (Classic)
FOODS_2_183,FOODS_2,Dole Beef Patties (1/4 lb)
FOODS_1_196,FOODS_1,Kelloggs Half & Half Creamer
FOODS_3_369,FOODS_3,Marketside Pretzels
FOODS_3_393,FOODS_3,Tyson Roma Tomatoes
FOODS_3_330,FOODS_3,Horizon Iceberg Lettuce
FOODS_2_294,FOODS_2,General Mills Raw Shrimp (Peeled)
FOODS_3_819,FOODS_3,Nestle Sparkling Water (Lime)
FOODS_3_614,FOODS_3,General Mills Green Seedless Grapes
FOODS_3_097,FOODS_3,Marketside Classic Cola 2L
FOODS_3_076,FOODS_3,Stonyfield Honey Nut Cereal
FOODS_2_030,FOODS_2,Nature Valley Chicken Breast (Boneless)
FOODS_3_203,FOODS_3,Silk Granola Bars (Oats)
FOODS_2_349,FOODS_2,Annie's Turkey Bacon
FOODS_3_434,FOODS_3,Organic Valley Organic Bananas (Bunch)
FOODS_3_378,FOODS_3,Horizon Whole Wheat Bread
FOODS_3_121,FOODS_3,Tyson Pretzels
FOODS_3_144,FOODS_3,Great Value Iceberg Lettuce
FOODS_3_460,FOODS_3,Stonyfield Avocados (Hass)
FOODS_1_088,FOODS_1,Chobani Parmesan Shaker
FOODS_3_672,FOODS_3,Great Value Roma Tomatoes
FOODS_2_388,FOODS_2,Kelloggs Frozen Peaches
FOODS_3_750,FOODS_3,Nature Valley Whole Wheat Bread
FOODS_3_475,FOODS_3,Silk White Rice (2lb)
FOODS_2_075,FOODS_2,Silk Meatball Sub Kit
FOODS_3_093,FOODS_3,Annie's Organic Bananas (Bunch)
FOODS_3_435,FOODS_3,Nestle Red Gala Apples
FOODS_3_592,FOODS_3,Great Value Potato Chips (Classic)
FOODS_2_166,FOODS_2,General Mills Corned Beef
FOODS_3_317,FOODS_3,Annie's Peanut Butter (Creamy)
FOODS_1_099,FOODS_1,Nestle Almond Milk (Unsweetened)
FOODS_3_610,FOODS_3,Organic Valley Roma Tomatoes
FOODS_3_805,FOODS_3,Kraft English Muffins
FOODS_3_732,FOODS_3,Stonyfield Black Beans (15oz)
FOODS_2_342,FOODS_2,General Mills Frozen French Fries
FOODS_3_307,FOODS_3,Nestle Pretzels
FOODS_3_674,FOODS_3,Organic Valley Roasted Peanuts
FOODS_3_089,FOODS_3,Tyson Bagged Salad Mix
FOODS_3_634,FOODS_3,Horizon Honey Nut Cereal
FOODS_3_232,FOODS_3,Chobani Marinara Pasta Sauce
FOODS_3_578,FOODS_3,Organic Valley Iceberg Lettuce
FOODS_3_191,FOODS_3,Quaker Baby Carrots Bag
FOODS_3_742,FOODS_3,General Mills Fruit Snacks
FOODS_1_210,FOODS_1,Organic Valley Whole Milk (1 gal)
FOODS_3_689,FOODS_3,Marketside Peanut Butter (Creamy)
FOODS_3_638,FOODS_3,Nature Valley Canned Sweet Corn
FOODS_3_292,FOODS_3,Kelloggs Sparkling Water (Lime)
FOODS_2_194,FOODS_2,Organic Valley Breakfast Burritos
FOODS_3_661,FOODS_3,Kraft White Rice (2lb)
FOODS_3_459,FOODS_3,Silk Green Seedless Grapes
FOODS_3_632,FOODS_3,Chobani Tortilla Chips
FOODS_3_654,FOODS_3,Nature Valley Potato Chips (Classic)
FOODS_3_372,FOODS_3,Kelloggs Organic Bananas (Bunch)
FOODS_3_066,FOODS_3,Organic Valley Classic Cola 2L
FOODS_3_139,FOODS_3,Silk Marinara Pasta Sauce
FOODS_3_132,FOODS_3,Kelloggs Strawberry Jam
FOODS_3_042,FOODS_3,Horizon Yellow Onions
FOODS_3_236,FOODS_3,Stonyfield Black Beans (15oz)
FOODS_2_101,FOODS_2,Kraft Beef Chuck Roast
FOODS_1_106,FOODS_1,Horizon Half & Half Creamer
FOODS_3_257,FOODS_3,Marketside Russet Potatoes (5lb)
FOODS_3_788,FOODS_3,Kelloggs Sparkling Water (Lime)
FOODS_3_021,FOODS_3,Kraft Roma Tomatoes
FOODS_3_026,FOODS_3,Horizon Avocados (Hass)
FOODS_3_786,FOODS_3,Organic Valley Yellow Onions
FOODS_2_061,FOODS_2,Annie's Ground Beef (93% Lean)
FOODS_2_082,FOODS_2,Organic Valley Ice Cream (Vanilla Bean)
FOODS_3_279,FOODS_3,Dole Organic Bananas (Bunch)
FOODS_3_117,FOODS_3,Kraft Instant Coffee
FOODS_3_793,FOODS_3,Tyson Canned Sweet Corn
FOODS_3_014,FOODS_3,Nature Valley Honey Nut Cereal
FOODS_3_721,FOODS_3,Marketside Strawberry Jam
FOODS_3_115,FOODS_3,Nestle Chocolate Chip Cookies
FOODS_1_083,FOODS_1,Nestle Blueberry Yogurt 4pk
FOODS_3_059,FOODS_3,Silk Pretzels
FOODS_3_154,FOODS_3,Horizon English Muffins
FOODS_3_176,FOODS_3,Great Value Roma Tomatoes
FOODS_3_238,FOODS_3,Nature Valley Roma Tomatoes
FOODS_1_023,FOODS_1,Dole Blueberry Yogurt 4pk
FOODS_3_217,FOODS_3,Tyson Organic Bananas (Bunch)
FOODS_3_156,FOODS_3,Stonyfield Red Gala Apples
FOODS_2_056,FOODS_2,Chobani Pork Loin Chops
FOODS_2_357,FOODS_2,Kraft Breaded Fish Sticks
FOODS_3_041,FOODS_3,Tyson White Rice (2lb)
FOODS_1_194,FOODS_1,Organic Valley Probiotic Drink
FOODS_1_215,FOODS_1,Dole Cheddar Cheese Block
FOODS_3_142,FOODS_3,Nature Valley Canned Sweet Corn
FOODS_2_285,FOODS_2,Annie's Meatball Sub Kit
FOODS_1_013,FOODS_1,Annie's Orange Juice (No Pulp)
FOODS_1_166,FOODS_1,General Mills Half & Half Creamer
FOODS_3_566,FOODS_3,General Mills Strawberry Jam
FOODS_3_302,FOODS_3,Nature Valley Roasted Peanuts
FOODS_2_304,FOODS_2,Great Value Smoked Turkey Deli Slices
FOODS_1_087,FOODS_1,Dole Ricotta Cheese
FOODS_3_628,FOODS_3,Kelloggs Strawberry Jam
FOODS_3_508,FOODS_3,Stonyfield Tortilla Chips
FOODS_3_301,FOODS_3,Annie's Chocolate Chip Cookies
FOODS_2_289,FOODS_2,Marketside Turkey Bacon
FOODS_2_274,FOODS_2,Organic Valley Smoked Turkey Deli Slices
FOODS_2_384,FOODS_2,Great Value Raw Shrimp (Peeled)
FOODS_2_116,FOODS_2,Kelloggs Pork Loin Chops
FOODS_1_201,FOODS_1,Tyson Pepper Jack Cubes
FOODS_3_184,FOODS_3,Chobani Fruit Snacks
FOODS_3_224,FOODS_3,Great Value Peanut Butter (Creamy)
FOODS_3_551,FOODS_3,Dole Instant Coffee
FOODS_3_590,FOODS_3,Nature Valley Red Gala Apples
FOODS_1_045,FOODS_1,Annie's Liquid Egg Whites
FOODS_3_241,FOODS_3,Marketside Instant Coffee
FOODS_3_795,FOODS_3,Silk Iceberg Lettuce
FOODS_3_138,FOODS_3,Horizon Honey Nut Cereal
FOODS_3_479,FOODS_3,Quaker Honey Nut Cereal
FOODS_3_249,FOODS_3,Tyson Red Gala Apples
FOODS_3_646,FOODS_3,General Mills Avocados (Hass)
FOODS_2_139,FOODS_2,Silk Turkey Bacon
FOODS_2_306,FOODS_2,Organic Valley Pork Sausage Links
FOODS_2_283,FOODS_2,Silk Mixed Vegetable Medley
FOODS_3_584,FOODS_3,Chobani Avocados (Hass)
FOODS_1_113,FOODS_1,Marketside Blueberry Yogurt 4pk
FOODS_3_823,FOODS_3,Dole Granola Bars (Oats)
FOODS_1_121,FOODS_1,Tyson 2% Reduced Fat Milk
FOODS_2_086,FOODS_2,General Mills Pork Loin Chops
FOODS_3_082,FOODS_3,Organic Valley Iceberg Lettuce
FOODS_1_200,FOODS_1,Chobani Vanilla Bean Yogurt
FOODS_3_248,FOODS_3,Chobani Organic Bananas (Bunch)
FOODS_3_565,FOODS_3,Kraft Peanut Butter (Creamy)
FOODS_1_172,FOODS_1,Stonyfield Salted Butter Sticks
FOODS_3_126,FOODS_3,Nature Valley Sliced White Bread
FOODS_2_247,FOODS_2,Dole Frozen Mixed Berries
FOODS_1_120,FOODS_1,Chobani Whole Milk (1 gal)
FOODS_3_394,FOODS_3,Horizon Chocolate Chip Cookies
FOODS_3_648,FOODS_3,Chobani Pretzels
FOODS_3_008,FOODS_3,Chobani Strawberry Jam
FOODS_1_142,FOODS_1,Nature Valley Salted Butter Sticks
FOODS_3_665,FOODS_3,Tyson Honey Nut Cereal
FOODS_3_814,FOODS_3,Nature Valley Strawberry Jam
FOODS_3_400,FOODS_3,Great Value Pretzels
FOODS_2_368,FOODS_2,Great Value Atlantic Salmon Fillet
FOODS_1_027,FOODS_1,Silk Ricotta Cheese
FOODS_2_150,FOODS_2,General Mills Chicken Breast (Boneless)
FOODS_3_573,FOODS_3,Annie's Marinara Pasta Sauce
FOODS_2_212,FOODS_2,Kelloggs Frozen Pepperoni Pizza
FOODS_3_678,FOODS_3,General Mills Bagged Salad Mix
FOODS_1_036,FOODS_1,Kelloggs String Cheese Snacks
FOODS_1_031,FOODS_1,Quaker 2% Reduced Fat Milk
FOODS_3_485,FOODS_3,Kraft Iceberg Lettuce
FOODS_3_083,FOODS_3,Nestle Roma Tomatoes
FOODS_3_250,FOODS_3,Horizon Sliced White Bread
FOODS_3_385,FOODS_3,Marketside Sparkling Water (Lime)
FOODS_3_063,FOODS_3,Quaker Red Gala Apples
FOODS_3_760,FOODS_3,Chobani Spaghetti Noodles
FOODS_1_187,FOODS_1,Silk Sour Cream (16oz)
FOODS_3_011,FOODS_3,Silk Yellow Onions
FOODS_3_192,FOODS_3,Great Value Whole Wheat Bread
FOODS_3_431,FOODS_3,Quaker Pretzels
FOODS_3_812,FOODS_3,Stonyfield Whole Wheat Bread
FOODS_3_321,FOODS_3,Marketside Yellow Onions
FOODS_3_289,FOODS_3,Marketside White Rice (2lb)
FOODS_3_267,FOODS_3,Silk Black Beans (15oz)
FOODS_3_273,FOODS_3,Marketside Green Seedless Grapes
FOODS_3_311,FOODS_3,Dole Red Gala Apples
FOODS_3_676,FOODS_3,Kelloggs Green Seedless Grapes
FOODS_3_535,FOODS_3,Dole Strawberry Jam
FOODS_3_432,FOODS_3,Great Value Fruit Snacks
FOODS_2_267,FOODS_2,Silk Breaded Fish Sticks
FOODS_2_119,FOODS_2,Dole Veggie Burgers
FOODS_3_140,FOODS_3,Stonyfield Spaghetti Noodles
FOODS_3_596,FOODS_3,Kelloggs Peanut Butter (Creamy)
FOODS_1_082,FOODS_1,Organic Valley Salted Butter Sticks
FOODS_1_180,FOODS_1,Kelloggs Whole Milk (1 gal)
FOODS_3_679,FOODS_3,Dole Pretzels
FOODS_3_424,FOODS_3,Chobani Roma Tomatoes
FOODS_3_194,FOODS_3,Organic Valley Strawberry Jam
FOODS_3_053,FOODS_3,Kraft Chocolate Chip Cookies
FOODS_3_480,FOODS_3,Great Value Marinara Pasta Sauce
FOODS_3_766,FOODS_3,Nature Valley Chocolate Chip Cookies
FOODS_3_418,FOODS_3,Organic Valley Marinara Pasta Sauce
FOODS_2_036,FOODS_2,Kelloggs Pork Sausage Links
FOODS_3_169,FOODS_3,Tyson Honey Nut Cereal
FOODS_3_683,FOODS_3,Silk Red Gala Apples
FOODS_3_291,FOODS_3,Nestle Tortilla Chips
FOODS_2_381,FOODS_2,Annie's Frozen Spinich
FOODS_1_181,FOODS_1,Kraft 2% Reduced Fat Milk
FOODS_3_561,FOODS_3,Marketside Potato Chips (Classic)
FOODS_2_081,FOODS_2,Marketside Frozen Spinich
FOODS_2_074,FOODS_2,Horizon Breakfast Burritos
FOODS_2_052,FOODS_2,Kelloggs Ice Cream (Vanilla Bean)
FOODS_3_214,FOODS_3,General Mills Pretzels
FOODS_3_225,FOODS_3,Marketside Strawberry Jam
FOODS_1_040,FOODS_1,Chobani Cream Cheese Spread
FOODS_3_644,FOODS_3,Kelloggs Instant Coffee
FOODS_3_028,FOODS_3,Stonyfield Pretzels
FOODS_1_206,FOODS_1,Nature Valley Cage Free Brown Eggs
FOODS_2_356,FOODS_2,Kelloggs Pork Loin Chops
FOODS_3_383,FOODS_3,Quaker Yellow Onions
FOODS_2_003,FOODS_2,Nestle Beef Patties (1/4 lb)
FOODS_2_024,FOODS_2,Chobani Raw Shrimp (Peeled)
FOODS_2_376,FOODS_2,Chobani Corned Beef
FOODS_3_519,FOODS_3,Dole Roasted Peanuts
FOODS_1_192,FOODS_1,Great Value Cottage Cheese (Low Fat)
FOODS_3_208,FOODS_3,Great Value Chocolate Chip Cookies
